_200V充電時間_200v_charge_time,url,アイドリングストップ_idling_stop,アルミホイール_aluminum_foil,グレード名_model_grade,シート列数_number_of_sheet_columns,ジャンル_genre,スペアタイヤ_spare_tire,タイヤサイズ_前_tire_size_before,タイヤサイズ_後_after_tire_size,トレッド幅_前_tread_width_front,トレッド幅_後_after_tread_width,ドア数_number_of_doors,ハンドル位置_handle_position,パンク修理キット_puncture_repair_kit,ヘッドルーム前_headroom_front,ヘッドルーム後_headroom_after,ホイールサイズ_前_wheel_size_ago,ホイールサイズ_後_wheel_size_after,ホイールベース_wheel_base,メーカー_maker,モデル名_model_name,モーター最高トルク_motor_maximum_torque,モーター最高出力_motor_highest_output,リアシートまでの長さ_length_to_rear_seat,乗車定員_boarding_capacity,充電走行距離_charging_distance,全幅_overall_width,全長_overall_length,全高_overall_height,動力分類_power_classification,取得税減税率_acquisition_tax_reduction_rate,型式_model_number,室内長_length_of_room,室内高_room_height,急速充電時間_fast_charge_time,排気量_displacement,新車価格_new_car_price,新車販売状況_new_car_sales_situation,最低地上高_未積載時_ground_clearance,最小回転半径_minimum_turning_radius,最高トルク_maximum_torque,最高出力_highest_output,燃料_fuel,燃料タンク容量_fuel_tank_capacity,燃費_10_15モード_fuel_consumption_10_15_mode,燃費_JC08モード_fuel_consumption_jc08_mode,燃費基準達成率_fuel_efficiency_standard_achievement_rate,生産国_country,発売区分_release_category,発売日_release_date,空気圧警告灯_air_pressure_warning_light,総電力量_total_power,自動車取得税_car_acquisition_tax,自動車税_car_tax,自動車税減税率_automobile_tax_reduction_rate,自動車重量税_car_weight_tax,自動車重量税減税率_automobile_weight_tax_reduction_rate,荷室容量_リアシート倒_loading_capacity_rear_seat_down,荷室容量_リアシート立_loading_capacity_rear_seat_standing,荷室容量測定方式_loading_capacity_measurement_method,車両総重量_vehicle_gross_weight,車両重量_vehicle_weight,過給機_turbocharger,駆動方式_drive_system
,https://kakaku.com/item/K0000368746/catalog/GradeID=20194/,標準装備,標準装備,VIP G,2,セダン,標準装備,,,"1,570","1,565",4,右,なし,930,900,18.0インチ 8.0J,18.0インチ 8.0J,"3,050",日産,シーマ ハイブリッド 2012年モデル,270[27.5],50[68],,5,,"1,845","5,120","1,510",ハイブリッド,60,DAA-HGY51,"2,240","1,185",,"3,498",864,販売終了,155,5.8,350[35.7]/5000,225[306]/6800,ハイオク,,,16.6,平成32年度燃費基準 + 20%達成,日本,ニューモデル,2012年5月21日,標準装備,,"218,100","58,000",50,"30,000",75,,,,"2,225","1,950",なし,FR
,https://kakaku.com/item/K0000368746/catalog/GradeID=35883/,標準装備,標準装備,HYBRID,2,セダン,標準装備,,,"1,570","1,565",4,右,なし,930,900,18.0インチ 8.0J,18.0インチ 8.0J,"3,050",日産,シーマ ハイブリッド 2012年モデル,270[27.5],50[68],,5,,"1,845","5,120","1,510",ハイブリッド,40,DAA-HGY51,"2,240","1,185",,"3,498",794,販売中,155,5.8,350[35.7]/5000,225[306]/6800,ハイオク,,,15.6,平成32年度燃費基準 + 20%達成,日本,マイナーチェンジ,2017年6月15日,標準装備,,"198,600","58,000",50,"30,000",50,,,,"2,205","1,930",なし,FR
,https://kakaku.com/item/K0000368746/catalog/GradeID=20193/,標準装備,標準装備,HYBRID VIP,2,セダン,標準装備,,,"1,570","1,565",4,右,なし,930,900,18.0インチ 8.0J,18.0インチ 8.0J,"3,050",日産,シーマ ハイブリッド 2012年モデル,270[27.5],50[68],,5,,"1,845","5,120","1,510",ハイブリッド,60,DAA-HGY51,"2,240","1,185",,"3,498",810,販売終了,155,5.8,350[35.7]/5000,225[306]/6800,ハイオク,,,16.6,平成32年度燃費基準 + 20%達成,日本,ニューモデル,2012年5月21日,標準装備,,"204,600","58,000",50,"30,000",75,,,,"2,225","1,950",なし,FR
url,生産国_country,メーカー_maker,ジャンル_genre
https://kakaku.com/item/K0000368746/catalog/GradeID=20194/,日本,日産,セダン
https://kakaku.com/item/K0000368746/catalog/GradeID=35883/,日本,日産,セダン
https://kakaku.com/item/K0000368746/catalog/GradeID=20193/,日本,日産,セダン
https://kakaku.com/item/K0000368746/catalog/GradeID=20192/,日本,日産,セダン
